Wall time,Step,Value
1699956012.9593515,169568.0,-1.0
1699956039.771147,202640.53626813408,-1.0
1699956105.8139417,282693.717342103,-1.0
1699956155.6960726,343375.24963866017,-1.0
1699956200.6618757,398297.9352917748,-1.0
1699956250.2098687,458598.8307962806,-1.0
1699956311.4593585,532547.3310961594,-1.0
1699956368.179724,600428.0225578964,-1.0
1699956417.4037557,659021.4030770317,-1.0
1699956480.9291704,732492.2012525772,-1.0
1699956535.967531,796060.3447840427,-0.908635454092457
1699956582.9093218,850264.4471052759,-0.9162911324435389
1699956624.9489608,898984.5874633369,-0.8453833083130795
1699956661.8814952,941789.0934995876,-0.8564993235954339
1699956715.3059857,1004150.3299597388,-0.7989986026096345
1699956763.1667917,1060116.7298634637,-0.7486855976551532
1699956834.3189812,1142136.872839076,-0.7042918882555073
1699956900.9027152,1219041.7088051252,-0.6648309251511877
1699956965.9960098,1294336.075044515,-0.6295238536636136
1699957025.7086854,1363371.994146942,-0.5977475900499003
1699957097.3975003,1444309.7931536993,-0.5689977331848359
1699957170.2502642,1525800.229349078,-0.5428615912386835
1699957237.7427874,1601323.9768464707,-0.5629566805966614
1699957311.5927796,1683380.2409557328,-0.539229277652168
1699957380.7093549,1760196.9230747093,-0.5578822353654177
1699957446.5836084,1833328.8421580212,-0.5361558061527437
1699957520.5931747,1915004.6154720397,-0.516038829326958
1699957592.4499648,1994140.440109094,-0.49735886356044745
1699957659.665247,2068204.3234689601,-0.47996725253628814
1699957724.4713137,2139321.552606652,-0.4637351607797968
1699957789.7977943,2210815.8810121207,-0.4485503767484923
1699957857.666029,2285383.2036238494,-0.43431471534268873
1699957928.9991198,2363651.279196527,-0.42094189268689036
1699958002.9034054,2445275.4917721665,-0.4382556670173621
1699958075.0364735,2525075.9384188494,-0.42551993167776536
1699958145.0445538,2602679.515296868,-0.4417586954324449
1699958212.0189555,2676989.527172689,-0.42960299985171607
1699958276.9988575,2749241.7257545656,-0.4180871488066936
1699958340.6591125,2820133.8081890866,-0.40716192348641855
1699958405.9381187,2892993.3938616547,-0.3967830269610145
1699958471.939918,2966381.339804,-0.4117919489795136
1699958535.6755304,3037125.654786388,-0.40178494394328623
1699958599.0518022,3107421.196888232,-0.39224344785735704
1699958659.9409783,3174960.877365963,-0.4063552970533209
1699958719.3212223,3240741.277726533,-0.3971249929609563
1699958780.0014694,3307760.4307746394,-0.38829607271901295
1699958839.0943377,3373040.4368321914,-0.3798429160811283
1699958896.9135704,3436850.903743956,-0.3717420378214574
1699958953.0973508,3498800.149972481,-0.3848739125703035
1699959011.0445855,3562510.773455462,-0.37698624236677225
1699959069.7762268,3626961.9546882254,-0.3694079557766041
1699959126.6719062,3689352.2130123675,-0.3621212037445553
1699959183.20442,3751320.1742475107,-0.35510948431387873
1699959238.8664496,3812399.8206380536,-0.3483575178949818
1699959293.660365,3872645.0600027717,-0.34185113614113977
1699959350.941914,3935568.6290724077,-0.3355771827303823
1699959409.2248077,3999619.2803546153,-0.3295234245913923
1699959465.9243443,4061942.02775124,-0.3236784723129325
1699959523.5073118,4125396.7169375727,-0.31803170864722846
1699959580.554205,4188225.148870377,-0.3125732241630131
1699959640.2977781,4253342.89201329,-0.3072937592277805
1699959700.0680594,4318698.785267708,-0.3021846516046599
1699959760.3572347,4384905.98688226,-0.29723778904006365
1699959822.4370587,4453393.782700554,-0.29244556629624324
1699959882.725525,4519888.414098098,-0.287800846150071
1699959942.081663,4585398.467824386,-0.28329692393738687
1699960000.1901062,4649577.134439864,-0.27892749527247845
1699960057.0419343,4712392.467512697,-0.2746866266158423
1699960112.657343,4773852.182769658,-0.2705687284012701
1699960167.0611393,4833971.547813953,-0.2665685304663278
1699960220.2762086,4892778.461986711,-0.26268105955913174
1699960272.0157802,4949955.777740459,-0.25890161871956086
1699960327.655178,5011120.128746586,-0.2552257683551629
1699960383.1410773,5072075.004662343,-0.25164930885144754
1699960437.7171273,5131984.44606328,-0.24816826457335509
1699960491.371885,5190778.986817267,-0.24477886912976807
1699960544.0180092,5248487.610576495,-0.241477551786242
1699960599.8692672,5309517.188885695,-0.238260924922911
1699960654.8612611,5369651.496020424,-0.23512577244495766
1699960709.4678714,5429400.748818271,-0.23206903906229723
1699960763.0172029,5488037.739768322,-0.2290878203633598
1699960815.6031888,5545631.36642667,-0.2261793536151808
1699960867.1873832,5602121.139714534,-0.22334100922854508
1699960917.8932526,5657658.96496474,-0.2205702828327641
1699960967.7439964,5712264.889140334,-0.21786478790987984
